date,city,blood_bank,blood_group,units_available,thalassemia_units_required
2025-01-01,Jabalpur,Hope Blood Bank,A+,79,9
2025-01-01,Jabalpur,Hope Blood Bank,A-,7,0
2025-01-01,Jabalpur,Hope Blood Bank,B+,38,3
2025-01-01,Jabalpur,Hope Blood Bank,B-,21,3
2025-01-01,Jabalpur,Hope Blood Bank,AB+,54,0
2025-01-01,Jabalpur,Hope Blood Bank,AB-,3,2
2025-01-01,Jabalpur,Hope Blood Bank,O+,34,5
2025-01-01,Jabalpur,Hope Blood Bank,O-,18,8
2025-01-01,Jabalpur,Metro Blood Bank,A+,58,3
2025-01-01,Jabalpur,Metro Blood Bank,A-,15,10
2025-01-01,Jabalpur,Metro Blood Bank,B+,35,8
2025-01-01,Jabalpur,Metro Blood Bank,B-,22,0
2025-01-01,Jabalpur,Metro Blood Bank,AB+,88,9
2025-01-01,Jabalpur,Metro Blood Bank,AB-,9,2
2025-01-01,Jabalpur,Metro Blood Bank,O+,64,7
2025-01-01,Jabalpur,Metro Blood Bank,O-,12,3
2025-01-01,Gwalior,Red Cross Blood Bank,A+,70,1
2025-01-01,Gwalior,Red Cross Blood Bank,A-,25,9
2025-01-01,Gwalior,Red Cross Blood Bank,B+,45,7
2025-01-01,Gwalior,Red Cross Blood Bank,B-,15,7
2025-01-01,Gwalior,Red Cross Blood Bank,AB+,35,9
2025-01-01,Gwalior,Red Cross Blood Bank,AB-,17,2
2025-01-01,Gwalior,Red Cross Blood Bank,O+,24,1
2025-01-01,Gwalior,Red Cross Blood Bank,O-,6,3
2025-01-01,Gwalior,City Care Blood Bank,A+,34,2
2025-01-01,Gwalior,City Care Blood Bank,A-,10,7
2025-01-01,Gwalior,City Care Blood Bank,B+,37,7
2025-01-01,Gwalior,City Care Blood Bank,B-,10,9
2025-01-01,Gwalior,City Care Blood Bank,AB+,94,1
2025-01-01,Gwalior,City Care Blood Bank,AB-,7,10
2025-01-01,Gwalior,City Care Blood Bank,O+,39,5
2025-01-01,Gwalior,City Care Blood Bank,O-,10,4
2025-01-01,Gwalior,LifeLine Blood Center,A+,92,6
2025-01-01,Gwalior,LifeLine Blood Center,A-,23,1
2025-01-01,Gwalior,LifeLine Blood Center,B+,51,6
2025-01-01,Gwalior,LifeLine Blood Center,B-,10,4
2025-01-01,Gwalior,LifeLine Blood Center,AB+,22,0
2025-01-01,Gwalior,LifeLine Blood Center,AB-,14,10
2025-01-01,Gwalior,LifeLine Blood Center,O+,80,7
2025-01-01,Gwalior,LifeLine Blood Center,O-,7,4
2025-01-01,Gwalior,Hope Blood Bank,A+,17,7
2025-01-01,Gwalior,Hope Blood Bank,A-,15,9
2025-01-01,Gwalior,Hope Blood Bank,B+,73,2
2025-01-01,Gwalior,Hope Blood Bank,B-,17,9
2025-01-01,Gwalior,Hope Blood Bank,AB+,68,1
2025-01-01,Gwalior,Hope Blood Bank,AB-,8,7
2025-01-01,Gwalior,Hope Blood Bank,O+,73,3
2025-01-01,Gwalior,Hope Blood Bank,O-,0,7
2025-01-01,Gwalior,Metro Blood Bank,A+,55,4
2025-01-01,Gwalior,Metro Blood Bank,A-,13,8
2025-01-01,Gwalior,Metro Blood Bank,B+,30,4
2025-01-01,Gwalior,Metro Blood Bank,B-,29,4
2025-01-01,Gwalior,Metro Blood Bank,AB+,72,0
2025-01-01,Gwalior,Metro Blood Bank,AB-,14,5
2025-01-01,Gwalior,Metro Blood Bank,O+,39,4
2025-01-01,Gwalior,Metro Blood Bank,O-,10,7
2025-01-01,Ujjain,Red Cross Blood Bank,A+,16,3
2025-01-01,Ujjain,Red Cross Blood Bank,A-,8,2
2025-01-01,Ujjain,Red Cross Blood Bank,B+,25,10
2025-01-01,Ujjain,Red Cross Blood Bank,B-,20,3
2025-01-01,Ujjain,Red Cross Blood Bank,AB+,47,5
2025-01-01,Ujjain,Red Cross Blood Bank,AB-,10,5
2025-01-01,Ujjain,Red Cross Blood Bank,O+,45,9
2025-01-01,Ujjain,Red Cross Blood Bank,O-,8,6
2025-01-01,Ujjain,City Care Blood Bank,A+,29,5
2025-01-01,Ujjain,City Care Blood Bank,A-,7,4
2025-01-01,Ujjain,City Care Blood Bank,B+,58,10
2025-01-01,Ujjain,City Care Blood Bank,B-,22,10
2025-01-01,Ujjain,City Care Blood Bank,AB+,12,10
2025-01-01,Ujjain,City Care Blood Bank,AB-,0,1
2025-01-01,Ujjain,City Care Blood Bank,O+,62,2
2025-01-01,Ujjain,City Care Blood Bank,O-,14,7
2025-01-01,Ujjain,LifeLine Blood Center,A+,10,9
2025-01-01,Ujjain,LifeLine Blood Center,A-,17,3
2025-01-01,Ujjain,LifeLine Blood Center,B+,33,4
2025-01-01,Ujjain,LifeLine Blood Center,B-,9,5
2025-01-01,Ujjain,LifeLine Blood Center,AB+,72,9
2025-01-01,Ujjain,LifeLine Blood Center,AB-,0,0
2025-01-01,Ujjain,LifeLine Blood Center,O+,33,7
2025-01-01,Ujjain,LifeLine Blood Center,O-,16,2
2025-01-01,Ujjain,Hope Blood Bank,A+,52,2
2025-01-01,Ujjain,Hope Blood Bank,A-,4,0
2025-01-01,Ujjain,Hope Blood Bank,B+,66,5
2025-01-01,Ujjain,Hope Blood Bank,B-,20,6
2025-01-01,Ujjain,Hope Blood Bank,AB+,57,10
2025-01-01,Ujjain,Hope Blood Bank,AB-,8,4
2025-01-01,Ujjain,Hope Blood Bank,O+,31,9
2025-01-01,Ujjain,Hope Blood Bank,O-,11,4
2025-01-01,Ujjain,Metro Blood Bank,A+,28,8
2025-01-01,Ujjain,Metro Blood Bank,A-,16,5
2025-01-01,Ujjain,Metro Blood Bank,B+,64,10
2025-01-01,Ujjain,Metro Blood Bank,B-,17,9
2025-01-01,Ujjain,Metro Blood Bank,AB+,75,10
2025-01-01,Ujjain,Metro Blood Bank,AB-,0,9
2025-01-01,Ujjain,Metro Blood Bank,O+,22,7
2025-01-01,Ujjain,Metro Blood Bank,O-,13,3
2025-01-01,Sagar,Red Cross Blood Bank,A+,23,7
2025-01-01,Sagar,Red Cross Blood Bank,A-,11,10
2025-01-01,Sagar,Red Cross Blood Bank,B+,30,5
2025-01-01,Sagar,Red Cross Blood Bank,B-,22,5
2025-01-01,Sagar,Red Cross Blood Bank,AB+,68,4
2025-01-01,Sagar,Red Cross Blood Bank,AB-,2,8
2025-01-01,Sagar,Red Cross Blood Bank,O+,34,8
2025-01-01,Sagar,Red Cross Blood Bank,O-,1,4
2025-01-01,Sagar,City Care Blood Bank,A+,28,10
2025-01-01,Sagar,City Care Blood Bank,A-,23,8
2025-01-01,Sagar,City Care Blood Bank,B+,55,2
2025-01-01,Sagar,City Care Blood Bank,B-,25,5
2025-01-01,Sagar,City Care Blood Bank,AB+,54,3
2025-01-01,Sagar,City Care Blood Bank,AB-,5,3
2025-01-01,Sagar,City Care Blood Bank,O+,59,3
2025-01-01,Sagar,City Care Blood Bank,O-,11,0
2025-01-01,Sagar,LifeLine Blood Center,A+,32,9
2025-01-01,Sagar,LifeLine Blood Center,A-,22,3
2025-01-01,Sagar,LifeLine Blood Center,B+,43,5
2025-01-01,Sagar,LifeLine Blood Center,B-,22,7
2025-01-01,Sagar,LifeLine Blood Center,AB+,39,10
2025-01-01,Sagar,LifeLine Blood Center,AB-,17,7
2025-01-01,Sagar,LifeLine Blood Center,O+,32,10
2025-01-01,Sagar,LifeLine Blood Center,O-,13,6
2025-01-01,Sagar,Hope Blood Bank,A+,39,4
2025-01-01,Sagar,Hope Blood Bank,A-,25,0
2025-01-01,Sagar,Hope Blood Bank,B+,39,1
2025-01-01,Sagar,Hope Blood Bank,B-,22,1
2025-01-01,Sagar,Hope Blood Bank,AB+,11,2
2025-01-01,Sagar,Hope Blood Bank,AB-,6,3
2025-01-01,Sagar,Hope Blood Bank,O+,26,0
2025-01-01,Sagar,Hope Blood Bank,O-,8,0
2025-01-01,Sagar,Metro Blood Bank,A+,39,8
2025-01-01,Sagar,Metro Blood Bank,A-,14,1
2025-01-01,Sagar,Metro Blood Bank,B+,12,9
2025-01-01,Sagar,Metro Blood Bank,B-,25,0
2025-01-01,Sagar,Metro Blood Bank,AB+,67,7
2025-01-01,Sagar,Metro Blood Bank,AB-,6,0
2025-01-01,Sagar,Metro Blood Bank,O+,65,1
2025-01-01,Sagar,Metro Blood Bank,O-,5,4
2025-01-02,Bhopal,Red Cross Blood Bank,A+,26,2
2025-01-02,Bhopal,Red Cross Blood Bank,A-,13,9
2025-01-02,Bhopal,Red Cross Blood Bank,B+,91,6
2025-01-02,Bhopal,Red Cross Blood Bank,B-,12,4
2025-01-02,Bhopal,Red Cross Blood Bank,AB+,26,4
2025-01-02,Bhopal,Red Cross Blood Bank,AB-,1,1
2025-01-02,Bhopal,Red Cross Blood Bank,O+,61,1
2025-01-02,Bhopal,Red Cross Blood Bank,O-,11,3
2025-01-02,Bhopal,City Care Blood Bank,A+,37,8
2025-01-02,Bhopal,City Care Blood Bank,A-,37,5
2025-01-02,Bhopal,City Care Blood Bank,B+,60,6
2025-01-02,Bhopal,City Care Blood Bank,B-,6,2
2025-01-02,Bhopal,City Care Blood Bank,AB+,115,3
2025-01-02,Bhopal,City Care Blood Bank,AB-,0,3
2025-01-02,Bhopal,City Care Blood Bank,O+,13,4
2025-01-02,Bhopal,City Care Blood Bank,O-,1,2
2025-01-02,Bhopal,LifeLine Blood Center,A+,32,10
2025-01-02,Bhopal,LifeLine Blood Center,A-,16,1
2025-01-02,Bhopal,LifeLine Blood Center,B+,98,1
2025-01-02,Bhopal,LifeLine Blood Center,B-,22,6
2025-01-02,Bhopal,LifeLine Blood Center,AB+,107,0
2025-01-02,Bhopal,LifeLine Blood Center,AB-,11,6
2025-01-02,Bhopal,LifeLine Blood Center,O+,92,8
2025-01-02,Bhopal,LifeLine Blood Center,O-,15,9
2025-01-02,Bhopal,Hope Blood Bank,A+,117,8
2025-01-02,Bhopal,Hope Blood Bank,A-,26,7
2025-01-02,Bhopal,Hope Blood Bank,B+,66,2
2025-01-02,Bhopal,Hope Blood Bank,B-,25,2
2025-01-02,Bhopal,Hope Blood Bank,AB+,113,1
2025-01-02,Bhopal,Hope Blood Bank,AB-,2,10
2025-01-02,Bhopal,Hope Blood Bank,O+,36,2
2025-01-02,Bhopal,Hope Blood Bank,O-,20,1
2025-01-02,Bhopal,Metro Blood Bank,A+,97,1
2025-01-02,Bhopal,Metro Blood Bank,A-,33,4
2025-01-02,Bhopal,Metro Blood Bank,B+,61,6
2025-01-02,Bhopal,Metro Blood Bank,B-,13,1
2025-01-02,Bhopal,Metro Blood Bank,AB+,120,7
2025-01-02,Bhopal,Metro Blood Bank,AB-,7,1
2025-01-02,Bhopal,Metro Blood Bank,O+,100,5
2025-01-02,Bhopal,Metro Blood Bank,O-,5,6
2025-01-02,Indore,Red Cross Blood Bank,A+,62,4
2025-01-02,Indore,Red Cross Blood Bank,A-,20,9
2025-01-02,Indore,Red Cross Blood Bank,B+,32,9
2025-01-02,Indore,Red Cross Blood Bank,B-,19,9
2025-01-02,Indore,Red Cross Blood Bank,AB+,94,1
2025-01-02,Indore,Red Cross Blood Bank,AB-,4,2
2025-01-02,Indore,Red Cross Blood Bank,O+,57,1
2025-01-02,Indore,Red Cross Blood Bank,O-,15,4
2025-01-02,Indore,City Care Blood Bank,A+,73,8
2025-01-02,Indore,City Care Blood Bank,A-,36,9
2025-01-02,Indore,City Care Blood Bank,B+,98,5
2025-01-02,Indore,City Care Blood Bank,B-,27,5
2025-01-02,Indore,City Care Blood Bank,AB+,28,0
2025-01-02,Indore,City Care Blood Bank,AB-,16,0
2025-01-02,Indore,City Care Blood Bank,O+,105,2
2025-01-02,Indore,City Care Blood Bank,O-,12,2
2025-01-02,Indore,LifeLine Blood Center,A+,86,10
2025-01-02,Indore,LifeLine Blood Center,A-,26,10
2025-01-02,Indore,LifeLine Blood Center,B+,58,2
2025-01-02,Indore,LifeLine Blood Center,B-,9,10
2025-01-02,Indore,LifeLine Blood Center,AB+,116,6
2025-01-02,Indore,LifeLine Blood Center,AB-,2,5
2025-01-02,Indore,LifeLine Blood Center,O+,118,4
2025-01-02,Indore,LifeLine Blood Center,O-,22,2
2025-01-02,Indore,Hope Blood Bank,A+,30,0
2025-01-02,Indore,Hope Blood Bank,A-,13,0
2025-01-02,Indore,Hope Blood Bank,B+,94,4
2025-01-02,Indore,Hope Blood Bank,B-,30,10
2025-01-02,Indore,Hope Blood Bank,AB+,66,7
2025-01-02,Indore,Hope Blood Bank,AB-,13,10
2025-01-02,Indore,Hope Blood Bank,O+,18,7
2025-01-02,Indore,Hope Blood Bank,O-,16,9
2025-01-02,Indore,Metro Blood Bank,A+,67,3
2025-01-02,Indore,Metro Blood Bank,A-,15,8
2025-01-02,Indore,Metro Blood Bank,B+,14,7
2025-01-02,Indore,Metro Blood Bank,B-,6,7
2025-01-02,Indore,Metro Blood Bank,AB+,96,8
2025-01-02,Indore,Metro Blood Bank,AB-,14,9
2025-01-02,Indore,Metro Blood Bank,O+,58,10
2025-01-02,Indore,Metro Blood Bank,O-,12,7
2025-01-02,Jabalpur,Red Cross Blood Bank,A+,90,0
2025-01-02,Jabalpur,Red Cross Blood Bank,A-,9,1
2025-01-02,Jabalpur,Red Cross Blood Bank,B+,68,5
2025-01-02,Jabalpur,Red Cross Blood Bank,B-,18,9
2025-01-02,Jabalpur,Red Cross Blood Bank,AB+,15,3
2025-01-02,Jabalpur,Red Cross Blood Bank,AB-,3,8
2025-01-02,Jabalpur,Red Cross Blood Bank,O+,45,9
2025-01-02,Jabalpur,Red Cross Blood Bank,O-,13,9
2025-01-02,Jabalpur,City Care Blood Bank,A+,27,2
2025-01-02,Jabalpur,City Care Blood Bank,A-,6,6
2025-01-02,Jabalpur,City Care Blood Bank,B+,70,8
2025-01-02,Jabalpur,City Care Blood Bank,B-,4,4
2025-01-02,Jabalpur,City Care Blood Bank,AB+,48,1
2025-01-02,Jabalpur,City Care Blood Bank,AB-,3,5
2025-01-02,Jabalpur,City Care Blood Bank,O+,50,7
2025-01-02,Jabalpur,City Care Blood Bank,O-,1,3
2025-01-02,Jabalpur,LifeLine Blood Center,A+,26,4
2025-01-02,Jabalpur,LifeLine Blood Center,A-,15,10
2025-01-02,Jabalpur,LifeLine Blood Center,B+,77,7
2025-01-02,Jabalpur,LifeLine Blood Center,B-,16,6
2025-01-02,Jabalpur,LifeLine Blood Center,AB+,22,3
2025-01-02,Jabalpur,LifeLine Blood Center,AB-,1,0
2025-01-02,Jabalpur,LifeLine Blood Center,O+,16,2
2025-01-02,Jabalpur,LifeLine Blood Center,O-,7,6
2025-01-02,Jabalpur,Hope Blood Bank,A+,51,3
2025-01-02,Jabalpur,Hope Blood Bank,A-,14,6
2025-01-02,Jabalpur,Hope Blood Bank,B+,89,8
2025-01-02,Jabalpur,Hope Blood Bank,B-,5,6
2025-01-02,Jabalpur,Hope Blood Bank,AB+,68,6
2025-01-02,Jabalpur,Hope Blood Bank,AB-,17,10
2025-01-02,Jabalpur,Hope Blood Bank,O+,76,6
2025-01-02,Jabalpur,Hope Blood Bank,O-,7,8
2025-01-02,Jabalpur,Metro Blood Bank,A+,20,10
2025-01-02,Jabalpur,Metro Blood Bank,A-,4,7
2025-01-02,Jabalpur,Metro Blood Bank,B+,74,10
2025-01-02,Jabalpur,Metro Blood Bank,B-,17,8
2025-01-02,Jabalpur,Metro Blood Bank,AB+,15,10
2025-01-02,Jabalpur,Metro Blood Bank,AB-,5,3
2025-01-02,Jabalpur,Metro Blood Bank,O+,36,3
2025-01-02,Jabalpur,Metro Blood Bank,O-,17,2
2025-01-02,Gwalior,Red Cross Blood Bank,A+,72,2
2025-01-02,Gwalior,Red Cross Blood Bank,A-,5,5
2025-01-02,Gwalior,Red Cross Blood Bank,B+,63,1
2025-01-02,Gwalior,Red Cross Blood Bank,B-,16,10
2025-01-02,Gwalior,Red Cross Blood Bank,AB+,64,4
2025-01-02,Gwalior,Red Cross Blood Bank,AB-,16,10
2025-01-02,Gwalior,Red Cross Blood Bank,O+,65,2
2025-01-02,Gwalior,Red Cross Blood Bank,O-,16,2
2025-01-02,Gwalior,City Care Blood Bank,A+,74,2
2025-01-02,Gwalior,City Care Blood Bank,A-,23,10
2025-01-02,Gwalior,City Care Blood Bank,B+,32,3
2025-01-02,Gwalior,City Care Blood Bank,B-,6,9
2025-01-02,Gwalior,City Care Blood Bank,AB+,48,7
2025-01-02,Gwalior,City Care Blood Bank,AB-,19,8
2025-01-02,Gwalior,City Care Blood Bank,O+,36,7
2025-01-02,Gwalior,City Care Blood Bank,O-,1,9
2025-01-02,Gwalior,LifeLine Blood Center,A+,84,0
2025-01-02,Gwalior,LifeLine Blood Center,A-,18,6
2025-01-02,Gwalior,LifeLine Blood Center,B+,38,8
2025-01-02,Gwalior,LifeLine Blood Center,B-,21,9
2025-01-02,Gwalior,LifeLine Blood Center,AB+,57,8
2025-01-02,Gwalior,LifeLine Blood Center,AB-,13,2
2025-01-02,Gwalior,LifeLine Blood Center,O+,54,3
2025-01-02,Gwalior,LifeLine Blood Center,O-,20,3
2025-01-02,Gwalior,Hope Blood Bank,A+,73,1
2025-01-02,Gwalior,Hope Blood Bank,A-,5,0
2025-01-02,Gwalior,Hope Blood Bank,B+,53,1
2025-01-02,Gwalior,Hope Blood Bank,B-,24,10
2025-01-02,Gwalior,Hope Blood Bank,AB+,47,3
2025-01-02,Gwalior,Hope Blood Bank,AB-,0,4
2025-01-02,Gwalior,Hope Blood Bank,O+,75,5
2025-01-02,Gwalior,Hope Blood Bank,O-,2,6
2025-01-02,Gwalior,Metro Blood Bank,A+,53,2
2025-01-02,Gwalior,Metro Blood Bank,A-,15,3
2025-01-02,Gwalior,Metro Blood Bank,B+,66,8
2025-01-02,Gwalior,Metro Blood Bank,B-,30,4
2025-01-02,Gwalior,Metro Blood Bank,AB+,17,2
2025-01-02,Gwalior,Metro Blood Bank,AB-,3,7
2025-01-02,Gwalior,Metro Blood Bank,O+,57,8
2025-01-02,Gwalior,Metro Blood Bank,O-,13,0
2025-01-02,Ujjain,Red Cross Blood Bank,A+,12,0
2025-01-02,Ujjain,Red Cross Blood Bank,A-,8,8
2025-01-02,Ujjain,Red Cross Blood Bank,B+,60,5
2025-01-02,Ujjain,Red Cross Blood Bank,B-,21,10
2025-01-02,Ujjain,Red Cross Blood Bank,AB+,31,7
2025-01-02,Ujjain,Red Cross Blood Bank,AB-,1,10
2025-01-02,Ujjain,Red Cross Blood Bank,O+,68,6
2025-01-02,Ujjain,Red Cross Blood Bank,O-,0,6
2025-01-02,Ujjain,City Care Blood Bank,A+,42,8
2025-01-02,Ujjain,City Care Blood Bank,A-,6,1
2025-01-02,Ujjain,City Care Blood Bank,B+,75,7
2025-01-02,Ujjain,City Care Blood Bank,B-,12,0
2025-01-02,Ujjain,City Care Blood Bank,AB+,39,2
2025-01-02,Ujjain,City Care Blood Bank,AB-,2,6
2025-01-02,Ujjain,City Care Blood Bank,O+,76,0
2025-01-02,Ujjain,City Care Blood Bank,O-,12,7
2025-01-02,Ujjain,LifeLine Blood Center,A+,52,3
2025-01-02,Ujjain,LifeLine Blood Center,A-,16,3
2025-01-02,Ujjain,LifeLine Blood Center,B+,46,7
2025-01-02,Ujjain,LifeLine Blood Center,B-,4,3
2025-01-02,Ujjain,LifeLine Blood Center,AB+,31,8
2025-01-02,Ujjain,LifeLine Blood Center,AB-,8,9
2025-01-02,Ujjain,LifeLine Blood Center,O+,13,10
2025-01-02,Ujjain,LifeLine Blood Center,O-,0,5
2025-01-02,Ujjain,Hope Blood Bank,A+,31,6
2025-01-02,Ujjain,Hope Blood Bank,A-,18,5
2025-01-02,Ujjain,Hope Blood Bank,B+,67,7
2025-01-02,Ujjain,Hope Blood Bank,B-,8,9
2025-01-02,Ujjain,Hope Blood Bank,AB+,68,5
2025-01-02,Ujjain,Hope Blood Bank,AB-,9,6
2025-01-02,Ujjain,Hope Blood Bank,O+,52,9
2025-01-02,Ujjain,Hope Blood Bank,O-,0,2
2025-01-02,Ujjain,Metro Blood Bank,A+,16,9
2025-01-02,Ujjain,Metro Blood Bank,A-,13,3
2025-01-02,Ujjain,Metro Blood Bank,B+,38,9
2025-01-02,Ujjain,Metro Blood Bank,B-,18,4
2025-01-02,Ujjain,Metro Blood Bank,AB+,24,10
2025-01-02,Ujjain,Metro Blood Bank,AB-,7,9
2025-01-02,Ujjain,Metro Blood Bank,O+,8,2
2025-01-02,Ujjain,Metro Blood Bank,O-,3,1
2025-01-02,Sagar,Red Cross Blood Bank,A+,25,9
2025-01-02,Sagar,Red Cross Blood Bank,A-,11,2
2025-01-02,Sagar,Red Cross Blood Bank,B+,59,0
2025-01-02,Sagar,Red Cross Blood Bank,B-,25,9
2025-01-02,Sagar,Red Cross Blood Bank,AB+,31,6
2025-01-02,Sagar,Red Cross Blood Bank,AB-,0,5
2025-01-02,Sagar,Red Cross Blood Bank,O+,71,6
2025-01-02,Sagar,Red Cross Blood Bank,O-,15,9
2025-01-02,Sagar,City Care Blood Bank,A+,41,1
2025-01-02,Sagar,City Care Blood Bank,A-,11,6
2025-01-02,Sagar,City Care Blood Bank,B+,75,3
2025-01-02,Sagar,City Care Blood Bank,B-,21,0
2025-01-02,Sagar,City Care Blood Bank,AB+,21,1
2025-01-02,Sagar,City Care Blood Bank,AB-,15,7
2025-01-02,Sagar,City Care Blood Bank,O+,18,0
2025-01-02,Sagar,City Care Blood Bank,O-,8,1
